Date,SPY,QQQ,IWM,EFA,IEF,TLT,GLD,VNQ,DBC
2014-01-02,148.198486328125,78.95684814453125,97.12877655029297,45.323307037353516,75.129638671875,71.91606140136719,118.0,39.360557556152344,21.38111686706543
2014-01-03,148.1741180419922,78.38687133789062,97.6224594116211,45.37144088745117,75.08442687988281,71.91606140136719,119.29000091552734,39.58000183105469,21.245845794677734
2014-01-06,147.74481201171875,78.09734344482422,96.83085632324219,45.316436767578125,75.2955551147461,72.21874237060547,119.5,39.78115463256836,21.271209716796875
2014-01-07,148.65219116210938,78.82117462158203,97.63946533203125,45.57085418701172,75.41622161865234,72.40172576904297,118.81999969482422,39.95793533325195,21.254301071166992
2014-01-08,148.68458557128906,78.99303436279297,97.76717376708984,45.557106018066406,75.04671478271484,72.20467376708984,118.12000274658203,39.762874603271484,21.051395416259766
2014-01-09,148.78176879882812,78.73066711425781,97.79271697998047,45.52272033691406,75.24278259277344,72.62698364257812,118.45999908447266,39.762874603271484,20.882308959960938
2014-01-10,149.1868896484375,78.9840316772461,98.32892608642578,45.942203521728516,75.87622833251953,73.49275970458984,120.26000213623047,40.30539321899414,21.017578125
2014-01-13,147.2019500732422,77.81688690185547,96.98409271240234,45.54335403442383,76.09490966796875,73.85877227783203,121.0199966430664,40.03718566894531,21.009122848510742
2014-01-14,148.8060760498047,79.30066680908203,98.17572784423828,45.90781784057617,75.80836486816406,73.52088928222656,119.88999938964844,40.32977294921875,21.009122848510742
2014-01-15,149.60824584960938,79.95207977294922,98.90773010253906,46.1003532409668,75.74050903320312,73.4434814453125,119.66000366210938,40.63457489013672,21.06830406188965
2014-01-16,149.4137725830078,79.96111297607422,99.02690887451172,46.079734802246094,75.95158386230469,73.93621063232422,119.79000091552734,40.70771789550781,21.034486770629883
2014-01-17,148.78176879882812,79.50874328613281,98.67794799804688,45.942203521728516,76.13260650634766,74.24585723876953,120.93000030517578,40.4699821472168,21.05984878540039
2014-01-21,149.21925354003906,80.11490631103516,99.26522827148438,46.16224670410156,76.0496597290039,74.30223846435547,119.69999694824219,40.83573532104492,21.110576629638672
2014-01-22,149.31649780273438,80.32301330566406,99.76742553710938,46.16224670410156,75.83853149414062,74.11920166015625,119.19000244140625,41.012508392333984,21.21202850341797
2014-01-23,148.0931396484375,80.05158233642578,99.09503173828125,45.8527946472168,76.3512954711914,75.16805267333984,121.79000091552734,40.91498565673828,21.195119857788086
2014-01-24,144.93341064453125,78.47734832763672,96.56700134277344,44.594383239746094,76.6604995727539,75.6537094116211,122.29000091552734,40.40292739868164,21.203575134277344
2014-01-27,144.22048950195312,77.7173843383789,95.15401458740234,44.388099670410156,76.42667388916016,75.12577819824219,120.95999908447266,40.092041015625,21.05984878540039
2014-01-28,145.0792236328125,77.6721420288086,96.15843200683594,44.773189544677734,76.53984832763672,75.30875396728516,120.94999694824219,40.42730712890625,21.16130256652832
2014-01-29,143.68576049804688,76.83975219726562,94.77098083496094,44.27119445800781,76.90180206298828,75.9281997680664,122.47000122070312,40.20785140991211,21.14439582824707
2014-01-30,145.2089080810547,78.26022338867188,96.18395233154297,44.49811935424805,76.82637786865234,75.70999145507812,119.7699966430664,40.817447662353516,21.05984878540039
2014-01-31,144.35821533203125,78.05210876464844,95.46894836425781,43.74170684814453,77.12801361083984,76.21678161621094,120.08999633789062,41.03689193725586,21.034486770629883
2014-02-03,141.10940551757812,76.2607192993164,92.48133087158203,42.847755432128906,77.54722595214844,77.14549255371094,121.31999969482422,40.38462829589844,21.034486770629883
2014-02-04,142.09776306152344,76.82166290283203,93.17926025390625,43.342857360839844,77.31307220458984,76.326904296875,120.98999786376953,40.8723030090332,21.195119857788086
2014-02-05,141.91952514648438,76.62264251708984,92.48133087158203,43.43225860595703,77.0335693359375,75.62120056152344,121.29000091552734,40.786964416503906,21.23739242553711
2014-02-06,143.7910919189453,77.59973907470703,93.21331024169922,44.20242691040039,76.89012145996094,75.29659271240234,121.23999786376953,41.085662841796875,21.321935653686523
2014-02-07,145.57354736328125,78.9840316772461,94.26879119873047,44.78006362915039,77.0940170288086,75.36009216308594,122.16999816894531,41.39654541015625,21.56711196899414
2014-02-10,145.84085083007812,79.43637084960938,94.51563262939453,44.628780364990234,77.13177490234375,75.5718002319336,122.91999816894531,41.786678314208984,21.44875144958496
2014-02-11,147.4368896484375,80.34109497070312,95.35832214355469,45.337059020996094,76.7918930053711,75.1342544555664,124.36000061035156,41.951255798339844,21.558658599853516
2014-02-12,147.50978088378906,80.49493408203125,95.73283386230469,45.41270065307617,76.6105728149414,74.7461929321289,124.43000030517578,41.97563934326172,21.60093116760254
2014-02-13,148.2714080810547,81.092041015625,96.95002746582031,45.55023193359375,76.97315979003906,75.1695556640625,125.48999786376953,42.13412094116211,21.71929168701172
2014-02-14,149.08966064453125,81.25487518310547,97.08623504638672,45.722145080566406,76.92028045654297,75.21190643310547,127.1500015258789,42.29872131347656,21.795381546020508
2014-02-18,149.2679443359375,81.6529769897461,98.0991439819336,46.11409378051758,77.10917663574219,75.38126373291016,127.4000015258789,42.50598907470703,22.10819435119629
2014-02-19,148.2794647216797,81.092041015625,97.0947265625,45.80466842651367,76.95805358886719,75.06375122070312,126.2699966430664,42.481597900390625,22.167373657226562
2014-02-20,149.15452575683594,81.4720458984375,98.14170837402344,45.96282196044922,76.8749771118164,74.88021850585938,127.5999984741211,42.3901481628418,22.209644317626953
2014-02-21,148.9843292236328,81.36344909667969,98.4481201171875,46.052223205566406,76.97315979003906,75.27545166015625,127.58000183105469,42.49378967285156,22.15046501159668
2014-02-24,149.8107147216797,81.79776000976562,99.17161560058594,46.45105743408203,76.89762878417969,75.08488464355469,128.99000549316406,42.597408294677734,22.243465423583984
2014-02-25,149.75399780273438,81.70726776123047,99.27377319335938,46.341033935546875,77.16200256347656,75.75531005859375,129.2100067138672,42.73761749267578,22.142013549804688
2014-02-26,149.76211547851562,81.63490295410156,99.88660430908203,46.1828727722168,77.38863372802734,76.15752410888672,128.11000061035156,42.83515930175781,22.08283233642578
2014-02-27,150.5480499267578,82.16456604003906,100.43135833740234,46.341033935546875,77.47929382324219,76.5738754272461,128.1999969482422,42.719337463378906,22.015195846557617
2014-02-28,150.92874145507812,82.07368469238281,100.03131103515625,46.42355728149414,77.40374755859375,76.61619567871094,127.62000274658203,43.115562438964844,22.09128189086914
2014-03-03,149.8675079345703,81.46501922607422,99.49504852294922,45.44021224975586,77.78659057617188,77.12767028808594,130.2899932861328,43.139930725097656,22.395639419555664
2014-03-04,151.9739227294922,82.50071716308594,101.99756622314453,46.341033935546875,77.18885040283203,75.967529296875,128.67999267578125,43.76170349121094,22.311098098754883
2014-03-05,152.1116485595703,82.72785186767578,101.9379653930664,46.29977035522461,77.27210235595703,76.13026428222656,128.88999938964844,43.70683670043945,22.125102996826172
2014-03-06,152.46005249023438,82.65516662597656,101.92092895507812,46.781131744384766,76.93914794921875,75.38035583496094,130.1699981689453,43.341102600097656,22.3280029296875
2014-03-07,152.52487182617188,82.2463150024414,101.88688659667969,46.52669906616211,76.60626220703125,74.90644073486328,129.08999633789062,42.87172317504883,22.2265567779541
2014-03-10,152.44386291503906,82.31900024414062,101.54642486572266,46.23788070678711,76.68949890136719,75.01256561279297,129.1300048828125,42.64617919921875,22.040559768676758
2014-03-11,151.69033813476562,81.96469116210938,100.49095916748047,45.90093231201172,76.7651596069336,75.21057891845703,129.86000061035156,42.914390563964844,22.049015045166016
2014-03-12,151.7308349609375,82.27354431152344,100.79737854003906,45.72901916503906,77.06777954101562,75.73410034179688,131.75999450683594,43.04240417480469,21.989831924438477
2014-03-13,150.0294952392578,81.11068725585938,99.63127136230469,44.87633514404297,77.52178192138672,76.75277709960938,132.2100067138672,42.84123992919922,21.88838005065918
2014-03-14,149.60824584960938,80.55648040771484,100.04830932617188,44.78006362915039,77.529296875,76.76685333251953,133.10000610351562,42.95096969604492,22.006742477416992
2014-03-17,150.961181640625,81.26509857177734,100.49095916748047,45.34393310546875,77.2191390991211,76.19391632080078,131.63999938964844,43.04240417480469,21.761564254760742
2014-03-18,152.03872680664062,82.2463150024414,101.9549789428711,45.62587356567383,77.40824127197266,76.46979522705078,130.6199951171875,43.17041015625,21.871471405029297
2014-03-19,151.2285614013672,81.80115509033203,101.29106903076172,45.068878173828125,76.68949890136719,75.87556457519531,128.08999633789062,42.353580474853516,21.863018035888672
2014-03-20,152.1116485595703,82.02828216552734,101.42725372314453,44.89695739746094,76.70457458496094,75.74114227294922,127.86000061035156,42.42673110961914,21.761564254760742
2014-03-21,151.52166748046875,81.04124450683594,100.9591064453125,44.80757141113281,76.84835052490234,76.56172180175781,128.47000122070312,42.816864013671875,21.778472900390625
2014-03-24,150.89512634277344,80.3309555053711,99.81002807617188,44.92446517944336,76.87861633300781,77.10646057128906,126.18000030517578,42.53645706176758,21.77001953125
2014-03-25,151.61114501953125,80.59503173828125,99.78610229492188,45.41270065307617,76.83321380615234,76.81640625,126.41000366210938,42.92483901977539,21.913742065429688
2014-03-26,150.52073669433594,79.55696868896484,97.87452697753906,45.405826568603516,77.1585693359375,77.41767883300781,125.41000366210938,42.44011688232422,21.896833419799805
2014-03-27,150.20335388183594,79.11076354980469,97.62708282470703,45.63274383544922,77.2342758178711,77.80677032470703,124.58999633789062,42.7100944519043,22.09128189086914
2014-03-28,150.94387817382812,79.26557159423828,97.53319549560547,45.976585388183594,76.96186828613281,77.36824035644531,124.55999755859375,42.96779251098633,22.09973907470703
2014-03-31,152.18081665039062,79.83013916015625,99.28260803222656,46.21037292480469,76.96944427490234,77.17716979980469,123.61000061035156,43.329811096191406,22.08283233642578
2014-04-01,153.1898956298828,81.23242950439453,100.5882797241211,46.50606918334961,76.81027221679688,76.51758575439453,123.38999938964844,43.526126861572266,21.812292098999023
