Expected Return (%),95% VaR (%),95% CVaR (%),Average Max Drawdown (%),Worst Max Drawdown (%),95% CI Lower Return (%),95% CI Upper Return (%),Expected Terminal Value,Return Assumption,Scenario,Strategy,Paths,Horizon (days)
3.5315476318077605,-6.168028859674327,-8.58160161686267,-5.617589720732048,-19.19611303770356,-7.928196501424882,15.89319956098127,103531.54763180776,Bearish,Very Low Vol,Conservative,10000,252
4.898240927157984,-9.643202950256555,-12.943794729014241,-8.433136293043543,-26.00117129381192,-12.113326501650219,24.05411663401629,104898.24092715797,Bearish,Very Low Vol,Balanced,10000,252
5.914291955057288,-13.04625020318493,-17.076570466081943,-11.036461637064535,-31.9268942511316,-16.283372186292222,31.600731505768138,105914.29195505728,Bearish,Very Low Vol,Aggressive,10000,252
3.642784489361656,-8.192165960488348,-10.968931545827248,-7.001781816851187,-25.23238167143597,-10.477986809883143,19.42552676434423,103642.78448936166,Bearish,Low Vol,Conservative,10000,252
5.121696422660032,-12.845305598281131,-16.39180864288115,-10.407502500950068,-33.63649940689057,-15.555558621449016,29.633912268169183,105121.69642266004,Bearish,Low Vol,Balanced,10000,252
6.228075450526176,-17.068873658649604,-21.440822281402376,-13.542903495545877,-41.281974522886486,-20.452540902098082,39.32482852664301,106228.07545052617,Bearish,Low Vol,Aggressive,10000,252
3.587348607027513,-10.30942417885663,-13.38629960658283,-8.403927494722055,-25.828537376186983,-12.731231178210184,21.893073553375725,103587.34860702751,Bearish,Base Vol,Conservative,10000,252
5.033911588999014,-15.349706767485474,-19.877189207518423,-12.45801642313576,-35.455178588363815,-19.036420090867377,33.60583260733764,105033.911588999,Bearish,Base Vol,Balanced,10000,252
6.14120610041875,-20.1158382626332,-25.672927209325863,-16.102820398644628,-45.157998848114886,-24.610168078509755,44.38505124369605,106141.20610041874,Bearish,Base Vol,Aggressive,10000,252
3.4140946619556196,-13.04007627754662,-16.56876011568425,-10.278828445006827,-32.6023772739712,-15.647959214130639,25.320320613402796,103414.09466195562,Bearish,High Vol,Conservative,10000,252
4.698598033840126,-19.50404547155474,-24.705721872203156,-15.167415022785505,-45.577907669693936,-23.593173772080448,39.500506853034,104698.59803384013,Bearish,High Vol,Balanced,10000,252
5.6987504247998935,-25.644189681887493,-31.608760786210883,-19.52884460040983,-57.329340340680076,-29.94370737394793,52.89305189936362,105698.7504247999,Bearish,High Vol,Aggressive,10000,252
3.518062841091703,-15.39439611057492,-19.34282660810764,-12.04166207514131,-37.2671419509211,-18.56489105079479,29.64243745418049,103518.0628410917,Bearish,Very High Vol,Conservative,10000,252
4.855977038400118,-23.1346141915827,-28.004666830681206,-17.6643990224041,-51.136413283271295,-26.768792101520678,46.44988451573418,104855.97703840013,Bearish,Very High Vol,Balanced,10000,252
5.879241869973089,-29.763671420708604,-35.51842226251144,-22.635778687694046,-61.487553897790704,-34.04570255040986,62.62823292641508,105879.24186997309,Bearish,Very High Vol,Aggressive,10000,252
5.458715727920294,-4.526000573770062,-6.881579325753013,-5.121409366302014,-18.506103139721034,-6.300534957996741,18.30397028691589,105458.7157279203,Neutral,Very Low Vol,Conservative,10000,252
6.82177388635387,-8.241805783974975,-11.53886839794271,-7.9370929079138115,-24.947819710021484,-10.815347257389153,27.088148973764444,106821.77388635387,Neutral,Very Low Vol,Balanced,10000,252
7.831348549593989,-11.658613693963762,-15.804336686783097,-10.548983382321794,-30.54888610155122,-14.995779942945243,34.78553269676634,107831.348549594,Neutral,Very Low Vol,Aggressive,10000,252
5.479542156059504,-6.529620489723268,-9.419574563490551,-6.474323821766757,-21.89169146003457,-8.667872203840336,21.22396599297703,105479.5421560595,Neutral,Low Vol,Conservative,10000,252
6.894097822403135,-11.035884172660186,-15.017248788428935,-9.93027668376479,-31.595892966143698,-14.29676675574853,31.769514129908195,106894.09782240313,Neutral,Low Vol,Balanced,10000,252
7.956939394504077,-15.069761056938408,-20.09732688774085,-13.074665637026946,-40.43511643644321,-19.184283557079922,41.309817534244324,107956.93939450406,Neutral,Low Vol,Aggressive,10000,252
5.720129996556986,-8.559859257907071,-11.708804556912485,-7.815602592650111,-25.205112132882128,-10.77239479822549,24.11607382873432,105720.12999655699,Neutral,Base Vol,Conservative,10000,252
7.285385162527584,-14.003266967013909,-18.274565402435456,-11.86051717223809,-40.45587505158728,-17.156228339015964,36.43260394599703,107285.38516252759,Neutral,Base Vol,Balanced,10000,252
8.465485708028044,-18.89732027742391,-24.166245211428077,-15.524494629993848,-49.27636460037233,-22.970027922554536,48.276411411384615,108465.48570802803,Neutral,Base Vol,Aggressive,10000,252
5.529844130889906,-11.341461203607393,-15.07512023366261,-9.630386938409261,-36.48169428832141,-14.172592266079148,28.1248997392059,105529.84413088992,Neutral,High Vol,Conservative,10000,252
6.928027272571145,-17.535536973792233,-22.868620595196152,-14.49927469184027,-49.75696732333417,-21.75557568027519,42.51340236469901,106928.02727257114,Neutral,High Vol,Balanced,10000,252
7.969606196382012,-23.614264715136216,-29.767513963068154,-18.87597025007799,-63.1425014906547,-28.50550055836041,56.40007818917406,107969.606196382,Neutral,High Vol,Aggressive,10000,252
5.696464424849144,-13.847983548296844,-17.85632047132092,-11.397113544046306,-37.52431820430772,-16.981403399827382,32.796908364556266,105696.46442484914,Neutral,Very High Vol,Conservative,10000,252
7.098622639451431,-21.314767418152567,-26.717202025299592,-17.0329544636335,-51.37623165165298,-25.616501889296785,49.973721951349,107098.62263945144,Neutral,Very High Vol,Balanced,10000,252
8.169227765444337,-28.158294297789993,-34.39173807421723,-21.99871121596513,-60.54550551638825,-33.01974154796968,66.55976901336318,108169.22776544433,Neutral,Very High Vol,Aggressive,10000,252
7.769755321664188,-2.427655063376871,-4.729356611480332,-4.6513576934367755,-16.919798576456987,-4.138591289017532,20.78663732377582,107769.7553216642,Bullish,Very Low Vol,Conservative,10000,252
9.250003371575325,-6.014141687707478,-9.109471739723901,-7.387603112706548,-23.469195934480005,-8.364830047874198,29.625726962053132,109250.00337157534,Bullish,Very Low Vol,Balanced,10000,252
10.338677556146436,-9.18616575521118,-13.23190611437966,-9.949728782948311,-29.90900640872641,-12.397880643742115,37.2946048358008,110338.67755614643,Bullish,Very Low Vol,Aggressive,10000,252
7.771104856630442,-4.556162944486904,-7.243497079572229,-5.935909438703093,-19.438251588430287,-6.7409307294840515,23.824154171792017,107771.10485663042,Bullish,Low Vol,Conservative,10000,252
9.197455767030004,-9.13026952704171,-13.02154548914155,-9.337467252057023,-30.02271388552452,-12.180923073204703,34.21233184338444,109197.45576703,Bullish,Low Vol,Balanced,10000,252
10.277726234826583,-13.613025749275748,-18.26260049516438,-12.47181471788218,-38.33873393307305,-17.050070908765434,43.71723382587701,110277.7262348266,Bullish,Low Vol,Aggressive,10000,252
7.740140506592359,-6.62166615525497,-9.785008835434471,-7.298622243146596,-26.755137549784518,-9.038956298620516,27.14264274162331,107740.14050659235,Bullish,Base Vol,Conservative,10000,252
9.1909563044368,-11.853082526534385,-16.255083709677393,-11.34275379685499,-35.973715898431216,-15.498041680867027,39.36596575662452,109190.9563044368,Bullish,Base Vol,Balanced,10000,252
10.239898705324721,-16.859410794436318,-22.293437932032585,-15.039375729813031,-43.401548707356106,-21.172847640139338,51.699937399297454,110239.89870532473,Bullish,Base Vol,Aggressive,10000,252
7.734657662193093,-9.391019432393783,-13.176535704862927,-9.091819075724336,-30.923779273859413,-12.406572652256463,31.085973068902938,107734.6576621931,Bullish,High Vol,Conservative,10000,252
9.23401420448723,-16.21864584726359,-21.05268070215236,-13.915517283224215,-43.496525934386625,-20.42151711044934,45.41455638020669,109234.01420448723,Bullish,High Vol,Balanced,10000,252
10.350769074174874,-22.520191429805067,-28.021492545723532,-18.25595371689181,-51.992206528132314,-27.127336441195887,59.8279746632937,110350.76907417485,Bullish,High Vol,Aggressive,10000,252
7.933318925042673,-12.094293451193769,-16.122529681476106,-10.763876108905492,-36.49030678802191,-15.049077424397073,35.55920732344199,107933.31892504268,Bullish,Very High Vol,Conservative,10000,252
9.519430613497272,-19.740707324324987,-25.130584204645203,-16.350305020375988,-48.918923611641155,-23.738143348741453,53.183350618459556,109519.43061349729,Bullish,Very High Vol,Balanced,10000,252
10.70928828561034,-26.764631319590272,-32.991237447836305,-21.32931392610649,-60.56907986703859,-31.441578672616714,70.47928733133296,110709.28828561034,Bullish,Very High Vol,Aggressive,10000,252
